time,pkg_pwr,ram_pwr
1013,40.74,5.13
1014,40.63,5.04
1015,40.58,4.93
1016,40.65,4.97
1017,40.78,5.12
1018,40.67,5.17
1019,40.62,5.07
1020,40.49,4.98
1021,40.23,5.03
1022,40.17,5.10
1023,39.81,5.10
1024,39.75,5.07
1025,39.56,4.99
1026,39.50,4.98
1027,39.76,5.22
1028,39.76,5.13
1029,39.52,5.08
1030,39.58,4.98
1031,39.87,4.98
1032,39.93,5.08
1033,40.55,5.13
1034,40.48,5.04
1035,40.02,4.97
1036,39.96,4.94
1037,40.06,5.20
1038,40.11,5.15
1039,40.02,5.04
1040,39.49,5.08
1041,39.54,5.05
1042,39.49,5.08
1043,39.48,5.13
1044,39.44,5.08
1045,39.41,4.99
1046,39.36,4.97
1047,39.38,5.18
1048,39.57,5.12
1049,40.04,5.09
1050,40.06,5.01
1051,39.20,4.96
1052,39.24,5.11
1053,39.29,5.16
1054,39.35,5.03
1055,39.44,4.96
1056,39.93,4.97
1057,40.06,5.16
1058,40.59,5.16
1059,40.58,4.99
1060,39.78,4.99
1061,39.90,5.21
1062,40.08,5.21
1063,40.55,5.14
1064,40.43,5.01
1065,39.63,4.96
1066,39.56,4.89
1067,40.01,5.17
1068,40.50,5.12
1069,40.25,4.96
1070,39.19,4.95
1071,39.21,4.94
1072,39.86,5.19
1073,40.30,5.14
1074,40.02,4.97
1075,39.19,4.93
1076,40.00,4.98
1077,40.33,5.23
1078,39.91,5.15
1079,39.17,5.00
1080,39.75,5.03
1081,40.12,4.95
1082,39.80,5.12
1083,39.27,5.14
1084,39.25,5.02
1085,40.06,5.00
1086,40.57,4.92
1087,40.01,5.08
1088,39.23,5.15
1089,39.17,4.99
1090,40.19,4.94
1091,40.46,4.95
1092,40.18,5.14
1093,39.90,5.12
1094,39.88,5.00
1095,39.93,4.98
1096,39.94,4.97
1097,40.00,5.13
1098,40.57,5.15
1099,40.62,4.97
1100,40.17,4.97
1101,40.02,4.96
1102,40.36,5.13
1103,40.56,5.15
1104,40.36,4.99
1105,39.88,4.96
1106,39.95,4.94
1107,40.24,5.17
1108,40.60,5.15
1109,40.46,5.03
1110,39.44,5.05
1111,39.46,4.99
1112,39.53,5.17
1113,40.58,5.11
1114,40.58,5.02
1115,39.65,4.98
1116,39.37,4.97
1117,40.36,5.17
1118,40.41,5.10
1119,39.79,5.00
1120,39.39,4.91
1121,39.42,4.96
1122,39.72,5.22
1123,39.67,5.23
1124,39.54,5.05
1125,39.54,5.01
1126,40.01,5.01
1127,40.55,5.15
1128,40.52,5.09
1129,40.21,5.02
1130,40.24,4.95
1131,40.54,4.95
1132,40.50,5.14
1133,40.53,5.13
1134,40.52,5.02
1135,40.49,4.97
1136,40.61,4.92
1137,40.47,5.14
1138,39.33,5.18
1139,39.32,4.97
1140,39.72,4.97
1141,40.07,4.90
1142,39.95,5.16
1143,39.38,5.08
1144,39.43,5.00
1145,40.54,4.98
1146,40.45,4.95
1147,39.74,5.23
1148,39.38,5.19
1149,39.43,5.06
1150,39.45,4.97
1151,39.40,4.91
1152,39.38,5.15
1153,39.34,5.11
1154,39.44,5.00
1155,39.41,4.93
1156,39.39,4.95
1157,39.49,5.27
1158,39.45,5.16
1159,39.41,5.06
1160,39.40,4.99
1161,39.43,5.00
1162,39.48,5.13
1163,39.65,5.17
1164,40.16,5.01
1165,40.12,4.95
1166,39.40,4.91
1167,39.47,5.16
1168,39.92,5.09
1169,40.24,5.03
1170,39.80,4.97
1171,39.37,4.95
1172,39.40,5.14
1173,39.70,5.10
1174,40.20,5.00
1175,40.20,5.22
1176,39.39,5.12
1177,39.81,5.21
1178,40.19,5.13
1179,40.02,5.00
1180,39.40,5.00
1181,39.49,4.98
1182,40.04,5.17
1183,40.09,5.08
1184,39.41,4.99
1185,39.35,4.93
1186,39.94,4.93
1187,40.24,5.15
1188,39.96,5.10
1189,39.47,4.98
1190,39.44,4.98
1191,39.44,5.00
1192,39.45,5.19
1193,39.32,5.14
1194,39.32,4.99
1195,39.31,4.99
1196,39.30,4.95
1197,39.13,5.21
1198,39.10,5.14
1199,39.08,5.03
1200,39.62,5.06
1201,39.65,4.95
1202,39.43,5.17
1203,39.27,5.12
1204,40.30,4.99
1205,40.40,4.95
1206,39.73,4.94
1207,39.41,5.21
1208,39.81,5.11
1209,40.13,5.00
1210,40.16,5.09
1211,40.24,5.12
1212,40.17,5.25
1213,40.47,5.13
1214,40.57,4.99
1215,40.32,5.03
1216,40.31,4.98
1217,40.59,5.22
1218,40.59,5.28
1219,40.56,5.13
1220,40.55,5.02
1221,40.60,5.03
1222,40.61,5.25
1223,40.61,5.18
1224,40.56,5.04
1225,40.59,5.04
1226,40.60,4.98
1227,40.48,5.27
1228,39.86,5.22
1229,40.15,5.14
1230,40.32,5.06
1231,40.32,4.99
1232,39.94,5.12
1233,39.95,5.10
1234,40.46,5.03
1235,40.58,4.95
1236,40.10,5.00
1237,39.70,5.19
1238,40.50,5.09
1239,40.58,5.02
1240,40.02,4.94
1241,39.69,4.93
1242,40.37,5.17
1243,40.59,5.09
1244,40.38,5.01
1245,39.98,4.98
1246,40.08,4.96
1247,40.30,5.12
1248,40.29,5.08
1249,40.06,4.99
1250,40.05,4.92
1251,40.09,4.91
1252,40.27,5.15
1253,40.15,5.07
1254,39.98,5.01
1255,40.09,4.94
1256,40.22,4.96
1257,40.44,5.16
1258,40.30,5.10
1259,39.52,4.95
1260,39.49,4.99
1261,39.59,4.99
1262,39.52,5.12
1263,39.38,5.11
1264,39.36,4.97
1265,39.54,4.93
1266,39.82,4.93
1267,39.69,5.15
1268,39.46,5.13
1269,39.82,5.00
1270,40.43,4.95
1271,40.38,5.28
1272,39.51,5.24
1273,39.49,5.16
1274,40.14,5.00
1275,40.12,5.02
1276,39.62,5.13
1277,39.49,5.15
1278,39.55,5.11
1279,40.10,4.97
1280,40.09,4.97
1281,39.57,4.98
1282,39.51,5.15
1283,39.57,5.10
1284,40.05,5.00
1285,40.05,4.99
1286,39.50,4.93
1287,39.52,5.27
1288,39.56,5.11
1289,40.02,5.00
1290,40.02,4.92
1291,39.79,4.96
1292,39.80,5.22
1293,39.77,5.04
1294,40.57,5.02
1295,40.66,4.95
1296,39.98,4.98
1297,39.74,5.18
1298,39.74,5.08
1299,40.27,4.98
1300,40.61,4.93
1301,40.25,4.97
1302,39.68,5.23
1303,39.66,5.09
1304,39.88,4.98
1305,40.55,4.97
1306,40.46,4.93
1307,39.75,5.14
1308,40.12,5.07
1309,40.60,5.03
1310,40.41,4.89
1311,39.69,4.92
1312,40.25,5.18
1313,40.58,5.04
1314,40.18,5.02
1315,39.28,4.98
1316,40.34,4.93
1317,40.59,5.15
1318,40.00,5.11
1319,39.36,4.97
1320,39.38,4.92
1321,40.01,4.94
1322,40.56,5.19
1323,40.44,5.16
1324,39.65,4.94
1325,39.94,4.98
1326,40.11,4.94
1327,39.89,5.13
1328,39.25,5.08
1329,40.11,5.02
1330,40.47,4.95
1331,39.96,4.94
1332,39.31,5.20
1333,40.36,5.11
1334,40.52,4.98
1335,40.07,4.95
1336,39.76,4.95
1337,39.90,5.21
1338,40.56,5.13
1339,40.57,5.03
1340,39.95,4.95
1341,39.79,4.91
1342,39.90,5.18
1343,40.33,5.08
1344,40.36,5.01
1345,40.38,5.23
1346,40.39,5.00
1347,40.24,5.38
1348,40.17,5.22
1349,40.25,5.09
1350,40.32,4.99
1351,40.30,5.01
1352,40.20,5.19
1353,40.20,5.14
1354,40.08,5.18
